route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,2,180845,To Seasame Park,,0,28595,14293,0,0
6,2,180846,To Seasame Park,,0,28595,14293,0,0
6,2,180847,To Seasame Park,,0,28595,14293,0,0
6,2,180848,To Village Mall,,1,28595,14294,0,0
6,2,180849,To Village Mall,,1,28595,14294,0,0
6,2,180850,To Village Mall,,1,28595,14294,0,0
6,2,180851,To Village Mall,,1,28595,14294,0,0
6,2,180852,To Village Mall,,1,28595,14294,0,0
6,2,180853,To Village Mall,,1,28595,14294,0,0
6,2,180854,To Village Mall,,1,28595,14294,0,0
6,2,180855,To Village Mall,,1,28595,14294,0,0
6,2,180856,To Village Mall,,1,28595,14294,0,0
20,2,180945,To Galway,,0,28595,14295,0,0
20,2,180946,To Galway,,0,28595,14295,0,0
20,2,180947,To Galway,,0,28595,14295,0,0
20,2,180948,To Galway,,0,28595,14295,0,0
20,2,180949,To Galway,,0,28595,14295,0,0
20,2,180950,To Galway,,0,28595,14295,0,0
20,2,180951,To Galway,,0,28595,14295,0,0
20,2,180952,To Galway,,0,28595,14295,0,0
20,2,180953,To Galway,,0,28595,14295,0,0
20,2,180954,To Galway,,0,28595,14295,0,0
20,2,180955,To Galway,,0,28595,14295,0,0
20,2,180956,To Village Mall,,1,28595,14296,0,0
20,2,180957,To Village Mall,,1,28595,14296,0,0
20,2,180958,To Village Mall,,1,28595,14296,0,0
20,2,180959,To Village Mall,,1,28595,14296,0,0
20,2,180960,To Village Mall,,1,28595,14296,0,0
20,2,180961,To Village Mall,,1,28595,14296,0,0
20,2,180962,To Village Mall,,1,28595,14296,0,0
20,2,180963,To Village Mall,,1,28595,14296,0,0
20,2,180964,To Village Mall,,1,28595,14296,0,0
20,2,180965,To Village Mall,,1,28595,14296,0,0
20,2,180966,To Village Mall,,1,28595,14296,0,0
1,5,178859,MUN / CONA/ MI,,0,28496,14125,0,0
1,5,178858,MUN / CONA/ MI,,0,28495,14125,0,0
1,5,178857,MUN / CONA/ MI,,0,28496,14126,0,0
1,5,178856,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178855,MUN / CONA/ MI,,0,28495,14126,0,0
1,5,178854,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178853,MUN / CONA/ MI,,0,28494,14126,0,0
1,5,178852,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178851,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178850,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178849,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178848,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178847,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178846,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178845,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178844,MUN / CONA/ MI,,0,28493,14127,0,0
1,5,178843,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178842,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178841,MUN / CONA/ MI,,0,28491,14127,0,0
1,5,178840,MUN / CONA/ MI,,0,28493,14127,0,0
1,5,178839,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178838,MUN / CONA/ MI,,0,28492,14127,0,0
1,5,178837,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178836,MUN / CONA/ MI,,0,28491,14127,0,0
1,5,178835,MUN / CONA/ MI,,0,28493,14127,0,0
1,5,178834,MUN / CONA/ MI,,0,28490,14127,0,0
1,5,178833,MUN / CONA/ MI,,0,28492,14127,0,0
1,5,178832,MUN / CONA/ MI,,0,28489,14127,0,0
1,5,178831,MUN / CONA/ MI,,0,28491,14126,0,0
1,5,178830,MUN / CONA/ MI,,0,28490,14125,0,0
1,5,178829,MUN / CONA/ MI,,0,28489,14124,0,0
1,5,178828,MUN / CONA/ MI,,0,28489,14124,0,0
1,5,178827,MUN / CONA/ MI,,0,28489,14124,0,0
1,5,178826,MUN / CONA/ MI,,0,28489,14124,0,0
1,5,178825,MUN / CONA/ MI,,0,28489,14124,0,0
1,5,178824,MUN / CONA/ MI,,0,28489,14128,0,0
1,5,178898,Crosbie Rd - Village Mall,,1,28495,14131,0,0
1,5,178897,Crosbie Rd - Village Mall,,1,28496,14131,0,0
1,5,178896,Crosbie Rd - Village Mall,,1,28495,14131,0,0
1,5,178895,Crosbie Rd - Village Mall,,1,28494,14130,0,0
1,5,178894,Crosbie Rd - Village Mall,,1,28496,14133,0,0
1,5,178893,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178892,Crosbie Rd - Village Mall,,1,28495,14132,0,0
1,5,178891,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178890,Crosbie Rd - Village Mall,,1,28494,14133,0,0
1,5,178889,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178888,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178887,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178886,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178885,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178884,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178883,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178882,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178881,Crosbie Rd - Village Mall,,1,28493,14130,0,0
1,5,178880,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178879,Crosbie Rd - Village Mall,,1,28492,14131,0,0
1,5,178878,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178877,Crosbie Rd - Village Mall,,1,28491,14130,0,0
1,5,178876,Crosbie Rd - Village Mall,,1,28493,14130,0,0
1,5,178875,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178874,Crosbie Rd - Village Mall,,1,28492,14130,0,0
1,5,178873,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178872,Crosbie Rd - Village Mall,,1,28491,14130,0,0
1,5,178871,Crosbie Rd - Village Mall,,1,28493,14130,0,0
1,5,178870,Crosbie Rd - Village Mall,,1,28490,14130,0,0
1,5,178869,Crosbie Rd - Village Mall,,1,28492,14130,0,0
1,5,178868,Crosbie Rd - Village Mall,,1,28489,14130,0,0
1,5,178867,Crosbie Rd - Village Mall,,1,28491,14133,0,0
1,5,178866,Crosbie Rd - Village Mall,,1,28490,14132,0,0
1,5,178865,Crosbie Rd - Village Mall,,1,28489,14131,0,0
1,5,178864,Crosbie Rd - Village Mall,,1,28489,14131,0,0
1,5,178863,Crosbie Rd - Village Mall,,1,28489,14131,0,0
1,5,178862,Crosbie Rd - Village Mall,,1,28489,14131,0,0
1,5,178861,Crosbie Rd - Village Mall,,1,28489,14131,0,0
